[2026-06-27T11:45:42.376Z] GET file:///Users/king/Documents/Projet_web_galaxie/script.js → 200 (20ms, 8261B)
[2026-06-27T11:45:42.430Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -815B)
[2026-06-27T11:45:42.481Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-06-27T11:49:32.001Z] GET file:///Users/king/Documents/Projet_web_galaxie/projet.html → 200 (35ms, 2909B)
[2026-06-27T11:49:32.104Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600&family=Space+Grotesk:wght@500;600;700&display=swap → 200 (15ms, -698B)
[2026-06-27T11:49:32.104Z] GET file:///Users/king/Documents/Projet_web_galaxie/style.css → 200 (?ms, 8589B)
[2026-06-27T11:49:32.104Z] GET https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js → 200 (55ms, -966B)
[2026-06-27T11:49:32.104Z] GET file:///Users/king/Documents/Projet_web_galaxie/script.js → 200 (16ms, 8507B)
[2026-06-27T11:49:32.157Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (1ms, -815B)
[2026-06-27T11:49:32.157Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (2ms, -815B)
